work_id,title,author,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,all_kudos,all_bookmarks,body
55432702,"Alcohol, tarde y reyes",['CassLovegood'],General Audiences,M/M,X-Men - All Media Types,Erik Lehnsherr/Charles Xavier,"Charles Xavier, Erik Lehnsherr","Fluff, Chess Metaphors, Chess, Alcohol, Friends to Lovers, First Kiss, Idiots in Love, Drabble, Tooth-Rotting Fluff",Espanol,2024-04-24,Completed,2024-04-24,500,1/1,null,3,null,26,"['WSam2013', 'mongoosewithabullet']",[],
55414303,amicalia desideria,['radiobreakdown'],General Audiences,"Gen, M/M","Dune - All Media Types, Dune Series - Frank Herbert, Dune (Movies - Villeneuve)",,"Feyd-Rautha Harkonnen, Lanville (Dune)","Vignette, Chess Metaphors, lanville lives! good for him",Russkii,2024-04-23,Completed,2024-04-23,438,1/1,2,7,1,21,"['kurukshetra', 'mandalora', 'kyivinlove', 'Helward_Mann', 'Kassielle', 'Ein_J']",[],
55412503,Snow Strategies,['Sopkanam'],General Audiences,F/M,Bi Lan Hang Xian  | Azur Lane (Video Game),Commander/Sovetsky Soyuz (Azur Lane),"Commander (Azur Lane), Sovetsky Soyuz (Azur Lane), Bismarck (Azur Lane), Sovetskaya Belorussiya (Azur Lane)","Chess, Chess Metaphors, Slice of Life, Budding Love, Friendship, Implied Relationships, One Shot, Conversations, Dialogue Heavy",English,2024-04-23,Completed,2024-04-23,"5,096",1/1,null,12,2,252,"['Salazar1537', 'Count_Grishnackh', 'PhantomBlue2', 'AntePavelic', 'Thunderknight96', 'Rider_of_Black_00', 'Togsquad_1', 'AntoRaid98']",[],
55409431,The House Knows,['Skullsz_Writes'],General Audiences,"F/F, Gen",Control (Video Game),"Dylan Faden & Jesse Faden, Jesse Faden/Emily Pope","Jesse Fadan, Dylan Fadan, Casper Darling","Alternate Universe - Canon Divergence, POV Jesse Fadan, Mentioned Jesse Fadan/Emily Pope, Brother-Sister Relationships, Chess, Mentioned Casper Darling, Mentioned Zachariah Trench, Secret Relationship, Complicated Relationships, Short One Shot, Not Beta Read, Flash Fic, Ficlet, Wordcount: 100-500",English,2024-04-23,Completed,2024-04-23,497,1/1,null,3,null,52,"['TakeControl5', 'WeShouldSpoon']",[],
24777445,Leaves of a Tree,['Eule'],General Audiences,Gen,"The Lord of the Rings - J. R. R. Tolkien, The Silmarillion and other histories of Middle-Earth - J. R. R. Tolkien, The Lord of the Rings - All Media Types","Legolas Greenleaf & Thranduil, Galion & Thranduil (Tolkien), Galion & Legolas Greenleaf, Aragorn | Estel & Thranduil","Thranduil (Tolkien), Legolas Greenleaf, Galion (Tolkien), Celeborn (Tolkien), Aragorn | Estel, Elrond Peredhel, Cirdan | Nowe, Oropher","Friendship, Hurt/Comfort, Dorwinion Wine, Caring Thranduil, Good Parent Thranduil, Thranduil's A+ Parenting, Hurt Legolas Greenleaf, Young Legolas Greenleaf, Chess, War of the Last Alliance, Fun, Happy Woodelves, Banter, Young Thranduil, Lindon (Tolkien), Greenwood the Great, Mirkwood, they are simply clueless at times, Youth Thranduil, Berion - Freeform",English,2020-06-17,Updated,2024-04-20,"35,333",25/?,86,420,48,"13,391","['3namez3', 'Dimitri_Korbel', 'Ineedanewname', 'agnestran', 'crazy_stupid_potato', 'Mangoooo', 'Supernatural2005', 'Fruzsina99', 'sonottelling', 'Supersmach', 'ninquelotes', 'Tayamina', 'SilverRush', 'J4y70n', 'Cassiusthevast', 'madeia', 'Alexa123456789', 'Collier_2', 'emberwingfeather_thronewarden', 'selmisch', 'lasolorien', 'truly1shelby', 'Phoenix12', 'Sofia28', 'SmolKittyCat', 'laura_123', 'Apax_0904', 'kaliffiza', 'Elaer', 'Vana_valie', 'OceanMythJormundgandr', 'everyonediesinspace', 'McCrustyHands', 'Caihong0603', 'Motherfluncker', 'WordMonster99', 'MSe2005', 'Ismae13', 'CandyDress', 'Paulina_ML', 'Maijyaha', 'Hide35', 'grajaPL', 'Auruuna', 'Japanesepengi', 'WaveOfSummer', 'Altamira_Oriole', 'chimchimie_bts', 'gwdihww', 'NiaShui']",[],
45468556,Furinkazan,['Darkrealmist'],General Audiences,M/M,"Rockman.EXE | Mega Man Battle Network, Rockman | Mega Man - All Media Types",Aragoma Torakichi | Tora/Hikari Netto | Lan Hikari,"Hikari Netto | Lan Hikari, Aragoma Torakichi | Tora, Ijuuin Enzan | Eugene Chaud, Raika (Rockman.EXE), Sakurai Maylu, Hikari Yuuichirou, Eguchi Meijin | Mr. Famous, Kifune Seishin | Keifer, Charlie Airstar, Tesla Magnets (Rockman.EXE), Rokushakudama Nenji | Fyrefox, Dingo (Rockman.EXE), Jasmine (Rockman.EXE), Princess Pride (Rockman.EXE), Oozono Yuriko | Ms. Yuri, Dark Miyabi | Mr. Dark, Dr. Wily | Lord Wily (Rockman.EXE), Oozono Mariko | Ms. Mari, Rockman.EXE | MegaMan.EXE, KingMan.EXE (Rockman.EXE), Rush (Rockman.EXE), Proto | Alpha (Rockman.EXE)","Adventure, Affectionate Insults, Age Difference, Anime, Battle, Bickering, Chess, Dating, Flirting, Inspired by Real Events, Long-Distance Relationship, Mild Language, Missions, Promises, Rare Pairings, Restaurants, Romance, Science Fiction, Slash, Strategy & Tactics, Team Up, Trains, Wordcount: Over 1.000, Wordcount: 1.000-5.000, Wordcount: Under 10.000",English,2024-04-19,Completed,2024-04-19,"1,169",1/1,null,null,null,32,[],[],
55310254,An Investment,['sieveyourtea'],General Audiences,"Gen, M/M",The Magnus Archives (Podcast),"Elias Bouchard | Jonah Magnus & Jonathan ""Jon"" Sims | The Archivist, Peter Lukas & Jonathan ""Jon"" Sims | The Archivist, Elias Bouchard | Jonah Magnus/Peter Lukas","Jonathan ""Jon"" Sims | The Archivist, Elias Bouchard | Jonah Magnus, Peter Lukas","Suit Shopping, Slice of Life, Parent Elias Bouchard, Parent Peter Lukas, Established Relationship, Parental Love is Shaping Someone in Your Image, or else, Elias certainly thinks so, Family Fluff, Chess, Are Peter and Elias in Love?, Are they in Evil Cahoots?, Born Archivist AU Side fic",English,2024-04-19,Completed,2024-04-19,781,1/1,20,37,null,175,"['Alternative_fangirl', 'Soreviel', 'cardbored', 'SeraphitefromSeattle', 'thankscoolpine', 'anxiousdisasterlesbian', 'pa1shu', 'sykloni', 'Mattition', 'CasuallyACryptid', 'capybara_57', 'KaviJae', 'otakugirl08x', 'thecaptainand', 'sanjuniporgo', 'loreu', 'Random_Reviewer', 'basilikum7', 'PrairieDawn', 'Moss_jar_enthusiast', 'Cassian_the_Burrito', 'Loopylea01', 'TooSexyToStab', 'WonkyElk', 'LookWithHorror', 'thecatinthepurplepants', 'Sleepytowne', 'MaryPenelope', 'I777I', 'joney_magnum', 'CasRed', 'Jackrabbit22', 'small_purple_penguin']",[],
54436867,"Simple Times, Simple Games",['JaseekaDarkblade'],General Audiences,,"Nanosaur (Video Games), Minesweeper, Purble Place (Video Game), Multi-Fandom, Unspecified Fandom, Poppit (Video Game), Papa Louie (Video Games), Nancy Drew (Video Games), Poptropica (Video Game), Windows 7 Games, Candy Land (Board Game), Monopoly (Board Game), Checkers (Board Game), The Little Mermaid (Board Game), Battleship (Board Game), Powder Game (Video Game), Scrabble (Board Game), Powder Game 2 (Video Game), Fishing World (Board Game), Irritation Stickman (Video Game), Stick Ranger (Video Game), Disney Princess: Enchanted Journey (Video Game), Jak X (Video Game), Minecraft (Video Game), Pac-Man (Video Games), Galaga (Video Game), Mappy (Video Games), Dig Dug (Video Game), Xevious (Video Games), Batman Plug And Play (Video Game), Jenga (Board Game), Yahtzee (Board Game), Logical Journey of the Zoombinis, Shopping Mall (Video Game), Mavis Beacon Teaches Typing, Sorry! (Board Game), GROW (On Nakayama Video Games), Chess (Board Game), Mahjong (Board Game) - Fandom, Black Lady | Hearts (Card Game), Littlest Pet Shop (Handheld Game)",,,"Nostalgia, old games, 2000s, Mystery, Food, Dessert & Sweets, Dress Up, Video & Computer Games, Dinosaurs, Match, Balloons, Typing, Lost Games, Card Games, Board Games, Fun, Childhood Memories, Reminiscing, Old Minecraft, Chess, Obscure Games, Magic, Racing, Arcades, Action/Adventure, Survival, 1990s, 1980s, Middle School, Elementary School",English,2024-04-17,Completed,2024-04-17,"1,643",1/1,5,35,6,72,"['Tiger_Trotter', 'NaughtyMono', 'FlareGlareIntoMeSoul', 'CO_OPCUB25', 'GhostFloRider', 'JennicaLovesSweetarts', 'CoSwaiziv101']",[],
55247092,A Game of Chess,['GhostBatte'],General Audiences,"F/F, Gen",Fallen London | Echo Bazaar,,Original Fallen London Character(s),"Chess, Chess Metaphors, Espionage, Seeking Mr Eaten's Name (Fallen London)",English,2024-04-16,Completed,2024-04-16,948,1/1,null,1,null,9,['theroyboys'],[],
55185985,Very First Friend,['Michelle_Mitch'],General Audiences,,Death Note (Anime & Manga),"L/Yagami Light, L & Yagami Light, Ryuk & Yagami Light","Yagami Light, L (Death Note), Ryuk (Death Note), Amane Misa, Kira (Death Note), Mello | Mihael Keehl, Near | Nate River","Poetry, Slow Burn, Regret, Canon Compliant, Friendship, Enemies to Friends, Chess Metaphors, Rivalry",English,2024-04-14,Completed,2024-04-14,503,1/1,null,18,1,119,"['Nika_Star56', 'Hajimekinnie', 'FictionalCricket', 'Juthfg72', 'zood_l3', 'CalmSociopath', 'Remi_the_rat_king', 'Itchy_Tasty05']",[],
